sku,imagen
WND5403,"https://source.unsplash.com/400x400/?Set,X,7,Cepillos,Para,Taladro,Wadfow,Wnd5402"
019-6313,"https://source.unsplash.com/400x400/?Amoladora,Angular,Hyundai,2300w,180mm,Hp0313"
548-0700,"https://source.unsplash.com/400x400/?Sierra,Copa,Corte,Profundo,Deep,Cut,25,Mm,Starrett"
272126,"https://source.unsplash.com/400x400/?Aerosol,Metal,Protection,Galvanizado,Rust-oleum,-,T.o,Gris"
iw890,"https://source.unsplash.com/400x400/?Mecha,Concreto,Irwin,10x150mm,3/8,,En,Pvc"
31015,"https://source.unsplash.com/400x400/?Llave,Allen,1000v,Bahco,6mm,"
313547,"https://source.unsplash.com/400x400/?Aerosol,Rust-oleum,Pintura,Llantas,Negro,Mate,Secado,Rápido,340g"
AHM009,"https://source.unsplash.com/400x400/?Careta,Soldar,Fotosensible,Ingco"
SI00108,"https://source.unsplash.com/400x400/?Soldador,Lápiz,Para,Estaño,Ingco,Si00108,100w,Color,Negro"
SK856,"https://source.unsplash.com/400x400/?Sierra,Caladora,De,Banco,120w,Gladiator,Pro,"
990-5020,"https://source.unsplash.com/400x400/?Bateria,20v,4.0m,Hyundai,"
HIPP28250,"https://source.unsplash.com/400x400/?Pinza,Pico,De,Loro,Ingco,10,Mango,Dieléctrico,Aislada,1000v"
441-0060,"https://source.unsplash.com/400x400/?Lija,Para,Madera,Norton,Grano,180,X10un"
004008,"https://source.unsplash.com/400x400/?Mayocryl,Pintura,Color,Rojo,4lt"
80-225,"https://source.unsplash.com/400x400/?Llaves,Combinadas,15mm.,Stanley,Basic"
Aa1018/3/220,"https://source.unsplash.com/400x400/?Amoladora,Angular,Aa1018/3/220,-,Ferretería,Armhel,"
277-0305,"https://source.unsplash.com/400x400/?Sierra,Circular,Eléctrica,Makita,185mm,1.8kw"
015-30002,"https://source.unsplash.com/400x400/?Trincheta,18,Mm,Metalica,Uso,Pesado,Tolsen"
015-62265,"https://source.unsplash.com/400x400/?Eslinga,Cinchas,De,Amarre,Resiste,5000,Kg,Tolsen,62265"
16783,"https://source.unsplash.com/400x400/?Destornillador,Ergo,Phillips,Aislado,Bahco,Modelo,Be-8620s"
CWLI2025,"https://source.unsplash.com/400x400/?Foco,Led,Recargable,P20s,Ingco,Cwli2025,-,Smf,Luz,Blanco,Neutro"
142324,"https://source.unsplash.com/400x400/?Soldadora,Inverter,Sinérgica,3,En,1,Smarter,Pro,Mig-200,200a,Mig,Tig,Mma,Naranja"
322655,"https://source.unsplash.com/400x400/?Esmalte,Al,Agua,Blanco,Semi,Brillante,Rust-oleum,Ultra,Cover,Interiores,Exteriores,1l"
335328,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Acabado,Metálico,Rust-oleum,Champagne,395,Ml"
IW331,"https://source.unsplash.com/400x400/?Mechas,P/madera,Tipo,Mat.,Irwin,8,X3/8,"
I120/220,"https://source.unsplash.com/400x400/?Soldadora,Inverter,Energy,I140/2/220,Color,Celeste"
